DATES         EFFR      LIPM  UNRATE      LPPI  BAA10YMOODY       LSM  CORELNS      ADS    LPCEND      MHF      MRR  MRR_OLD    MRRCS  MRRCS_OLD    MCGCS     EFFR_LW
1/01/1990   8.2300  402.4136  5.4000  476.5587       1.7400  173.2134   7.5638   0.4269  264.3185      NaN      NaN      NaN      NaN        NaN      NaN       8.242 
2/01/1990   8.2400  403.9156  5.3000  476.6438       1.6700  174.6925   7.5688   0.4794  264.7195      NaN      NaN      NaN      NaN        NaN      NaN       8.274 
3/01/1990   8.2800  404.4381  5.2000  476.7289       1.6200  177.0778   7.5746   0.2438  265.1287      NaN      NaN      NaN      NaN        NaN      NaN       8.296 
4/01/1990   8.2600  404.1751  5.4000  476.9837       1.5200  174.2085   7.5786  -0.2555  264.6151      NaN      NaN      NaN      NaN        NaN      NaN       8.208 
5/01/1990   8.1800  404.3615  5.4000  478.0803       1.6500  182.7286   7.5830  -0.2572  264.6855      NaN      NaN      NaN      NaN        NaN      NaN       8.148 
6/01/1990   8.2900  404.6687  5.2000  479.3308       1.7400  182.3081   7.5859  -0.4185  265.2032      NaN      NaN      NaN      NaN        NaN      NaN       8.34  
7/01/1990   8.1500  404.4509  5.5000  480.3201       1.7200  181.3632   7.5886  -0.7085  265.0949      NaN      NaN      NaN      NaN        NaN      NaN       8.084 
8/01/1990   8.1300  404.7662  5.7000  480.8927       1.6600  171.7235   7.5924  -1.1619  265.1862      NaN      NaN      NaN      NaN        NaN      NaN       8.062 
9/01/1990   8.2000  404.8036  5.9000  480.4021       1.7400  166.1888   7.5937  -1.3633  264.7371      NaN      NaN      NaN      NaN        NaN      NaN       8.242 
10/01/1990  8.1100  403.9705  5.9000  480.8927       2.0200  164.9306   7.5949  -1.9743  263.8326      NaN      NaN      NaN      NaN        NaN      NaN       8.244 
11/01/1990  7.8100  402.8037  6.2000  480.2380       2.2300  171.2978   7.5968  -2.1376  264.5261      NaN      NaN      NaN      NaN        NaN      NaN       7.584 
12/01/1990  7.3100  402.0069  6.3000  479.8267       2.3600  174.2064   7.5961  -1.9072  263.6185      NaN      NaN      NaN      NaN        NaN      NaN       7.406 
1/01/1991   6.9100  401.2388  6.4000  479.8267       2.3600  178.9975   7.5944  -1.8972  263.4083      NaN      NaN      NaN      NaN        NaN      NaN       7.5   
2/01/1991   6.2500  400.6098  6.6000  480.0737       2.2100  186.3084   7.5958  -1.6281  263.7758      NaN      NaN      NaN      NaN        NaN      NaN       6.414 
3/01/1991   6.1200  399.9889  6.8000  479.9091       1.9800  189.1596   7.5964  -0.9326  264.9268      NaN      NaN      NaN      NaN        NaN      NaN       6.006 
4/01/1991   5.9100  400.2647  6.7000  479.6617       1.9000  189.4913   7.5959  -0.4169  264.4677      NaN      NaN      NaN      NaN        NaN      NaN       5.928 
5/01/1991   5.7800  401.0224  6.9000  479.8267       1.8000  193.4836   7.5949   0.0454  265.0146      NaN      NaN      NaN      NaN        NaN      NaN       5.838 
6/01/1991   5.9000  402.1804  6.9000  479.9914       1.6800  188.9809   7.5938   0.3643  264.3633      NaN      NaN      NaN      NaN        NaN      NaN       6.022 
7/01/1991   5.8200  402.4423  6.8000  480.3201       1.6200  193.5542   7.5899  -0.1875  265.1197      NaN      NaN      NaN      NaN        NaN      NaN       5.8053
8/01/1991   5.6600  402.6770  6.9000  480.7294       1.7500  196.2008   7.5873  -0.2189  264.9289      NaN      NaN      NaN      NaN        NaN      NaN       5.6513
9/01/1991   5.4500  403.7739  6.9000  480.6477       1.8600  195.0972   7.5872  -0.1444  264.3073      NaN      NaN      NaN      NaN        NaN      NaN       5.376 
10/01/1991  5.2100  403.5557  7.0000  480.4021       1.9600  196.8605   7.5852  -0.4693  264.0748      NaN      NaN      NaN      NaN        NaN      NaN       5.2319
11/01/1991  4.8100  403.3614  7.0000  480.6477       2.0400  193.0617   7.5849  -0.5412  264.0247      NaN      NaN      NaN      NaN        NaN      NaN       4.7669
12/01/1991  4.4300  403.2468  7.3000  480.7294       2.1700  203.2070   7.5845  -0.2924  263.6518      NaN      NaN      NaN      NaN        NaN      NaN       4.2856
1/01/1992   4.0300  402.6166  7.3000  480.8111       2.1000  203.0887   7.5847   0.0542  265.7901   0.0000      NaN      NaN      NaN        NaN      NaN       4.086 
2/01/1992   4.0600  403.6362  7.4000  481.1371       1.8900  204.4153   7.5854   0.3674  265.5279   0.0126      NaN      NaN      NaN        NaN      NaN       4.0725
3/01/1992   3.9800  404.6067  7.4000  481.5431       1.7100  202.0168   7.5876   0.5928  264.8668   0.0000      NaN      NaN      NaN        NaN      NaN       3.976 
4/01/1992   3.7300  405.1672  7.4000  481.4620       1.7300  203.3498   7.5882   0.6788  265.6839   0.0104      NaN      NaN      NaN        NaN      NaN       3.8091
5/01/1992   3.8200  405.7700  7.6000  481.5431       1.7400  203.9916   7.5876   0.5561  266.0351   0.0000      NaN      NaN      NaN        NaN      NaN       3.83  
6/01/1992   3.7600  406.1069  7.8000  481.7859       1.7900  202.0440   7.5866   0.2760  265.7208   0.0000      NaN      NaN      NaN        NaN      NaN       3.936 
7/01/1992   3.2500  406.9511  7.7000  482.1893       1.9900  205.9565   7.5868   0.2253  266.0966  -0.0855      NaN      NaN      NaN        NaN      NaN       3.295 
8/01/1992   3.3000  406.5426  7.6000  482.1088       2.0700  203.8525   7.5876   0.0305  266.3888   0.0258      NaN      NaN      NaN        NaN      NaN       3.3589
9/01/1992   3.2200  406.6162  7.6000  482.1893       2.2000  205.0896   7.5908  -0.0847  266.7377   0.0000      NaN      NaN      NaN        NaN      NaN       3.504 
10/01/1992  3.1000  407.3345  7.3000  482.3502       2.2500  206.1821   7.5945   0.3421  267.4366   0.0000      NaN      NaN      NaN        NaN      NaN       3.1171
11/01/1992  3.0900  407.7554  7.4000  482.5911       2.0800  210.1228   7.5973   0.5193  267.1602  -0.0500      NaN      NaN      NaN        NaN      NaN       3.1725
12/01/1992  2.9200  407.5478  7.4000  482.8314       2.0400  211.8840   7.5996   0.6725  267.6258   0.0387      NaN      NaN      NaN        NaN      NaN       2.9167
1/01/1993   3.0200  408.5736  7.3000  483.3898       2.0700  213.1404   7.6019   0.0310  267.6091   0.0000      NaN      NaN      NaN        NaN      NaN       2.99  
2/01/1993   3.0300  408.7231  7.1000  483.3898       2.1300  213.6792   7.6051  -0.1457  267.5857   0.0000      NaN      NaN      NaN        NaN      NaN       3.0063
3/01/1993   3.0700  408.5190  7.0000  482.9912       2.1700  216.1597   7.6082  -0.5233  267.3427   0.0000      NaN      NaN      NaN        NaN      NaN       3.1817
4/01/1993   2.9600  409.0769  7.1000  482.9113       2.1700  213.5869   7.6104   0.1817  267.7978   0.0000      NaN      NaN      NaN        NaN      NaN       2.908 
5/01/1993   3.0000  409.0115  7.1000  481.9475       2.1800  216.5037   7.6176   0.0416  268.6909  -0.0258      NaN      NaN      NaN        NaN      NaN       3.0775
6/01/1993   3.0400  408.8237  7.0000  482.1088       2.1100  217.0463   7.6240  -0.0772  268.4273   0.0000      NaN      NaN      NaN        NaN      NaN       3.196 
7/01/1993   3.0600  409.1178  6.9000  482.1893       2.1300  216.9667   7.6284   0.2491  269.1393   0.0270      NaN      NaN      NaN        NaN      NaN       3.0659
8/01/1993   3.0300  409.0353  6.8000  482.3502       1.9200  220.8387   7.6330   0.1005  268.9100   0.0000      NaN      NaN      NaN        NaN      NaN       3.033 
9/01/1993   3.0900  409.7106  6.7000  482.3502       1.9800  220.9027   7.6371   0.4115  269.8198   0.0000      NaN      NaN      NaN        NaN      NaN       3.2171
10/01/1993  2.9900  410.5609  6.8000  482.6712       1.9800  222.6930   7.6435   0.7750  269.5958   0.0000      NaN      NaN      NaN        NaN      NaN       3.018 
11/01/1993  3.0200  410.9709  6.6000  482.8314       1.9400  220.9167   7.6499   1.0115  270.0806   0.0231      NaN      NaN      NaN        NaN      NaN       3.0344
12/01/1993  2.9600  411.5432  6.5000  482.9113       1.9100  222.8492   7.6592   1.2566  270.2719   0.0000      NaN      NaN      NaN        NaN      NaN       2.9638
1/01/1994   3.0500  411.7433  6.6000  482.9113       1.9000  225.9473   7.6655   0.4952  270.6691   0.0000   0.0000   0.0000   0.0000     0.0000   0.0000       3.148 
2/01/1994   3.2500  411.9120  6.6000  482.9113       1.7900  223.4951   7.6707   0.5339  271.3959   0.1633  -0.0240  -0.0240   0.0228    -0.0029  -0.0045       3.2769
3/01/1994   3.3400  413.2590  6.5000  482.9912       1.6500  218.8074   7.6775   1.2181  271.8489   0.0000  -0.0407  -0.0407  -0.0438     0.0197  -0.0459       3.5563
4/01/1994   3.5600  414.1175  6.4000  483.3898       1.5500  219.7507   7.6863   1.0833  272.0035   0.0000   0.0000   0.0000   0.0000     0.0000   0.0000       3.548 
5/01/1994   4.0100  414.8503  6.1000  483.7868       1.4400  220.6824   7.6946   0.8508  271.8586   0.1107   0.2275   0.2275   0.2182     0.2576   0.4152       4.27  
6/01/1994   4.2500  415.1971  6.1000  483.5488       1.5500  217.8519   7.7034   0.6788  272.4160   0.0000   0.0000   0.0000   0.0000     0.0000   0.0000       4.556 
7/01/1994   4.2600  415.6618  6.1000  483.2306       1.5100  220.8692   7.7159   0.6505  272.3512  -0.0496  -0.0624  -0.0624  -0.0659    -0.1562  -0.2623       4.3394
8/01/1994   4.4700  416.4266  6.0000  483.7075       1.5000  225.0407   7.7255   0.6868  273.2822   0.1240   0.3112   0.3112   0.3238     0.3193   0.2965       4.6658
9/01/1994   4.7300  416.8280  5.9000  484.1033       1.5200  223.1873   7.7352   0.9093  273.2163  -0.0900  -0.0148  -0.0148  -0.0042    -0.0842  -0.1778       4.7775
10/01/1994  4.7600  417.9150  5.8000  484.3399       1.4600  224.6289   7.7467   0.8652  273.9168   0.0000   0.0000   0.0000   0.0000     0.0000   0.0000       4.796 
11/01/1994  5.2900  418.7232  5.6000  484.5761       1.3600  220.8360   7.7552   0.9192  273.6565   0.1200   0.4361   0.4361   0.4304     0.4426   0.2618       5.6255
12/01/1994  5.4500  419.8477  5.5000  484.7332       1.2900  222.0890   7.7622   0.6121  274.4473  -0.2255  -0.3303  -0.3303  -0.2968    -0.2921  -0.4285       5.5763
1/01/1995   5.5300  420.0676  5.6000  484.9684       1.3000  224.1084   7.7753   0.2995  274.8779   0.0000   0.0000   0.0000   0.0000     0.0000   0.0000       5.656 
2/01/1995   5.9200  419.8674  5.4000  485.0467       1.3800  227.9934   7.7856  -0.2068  273.8336   0.0622   0.2877   0.2877   0.2929     0.3692   0.3903       5.9126
3/01/1995   5.9800  420.1151  5.4000  485.0467       1.5000  230.6615   7.7953  -0.1734  274.3961  -0.0100  -0.0592  -0.0592  -0.0589     0.0197  -0.0355       6.1575
4/01/1995   6.0500  420.0388  5.8000  485.2030       1.5400  233.1355   7.8072  -0.1610  274.2030   0.0000   0.0000   0.0000   0.0000     0.0000   0.0000       6.056 
5/01/1995   6.0100  420.1343  5.6000  485.1249       1.5700  236.4797   7.8171  -0.2142  274.9469   0.0000   0.1641   0.1641   0.1388     0.1020   0.1276       6.0617
6/01/1995   6.0000  420.6218  5.6000  485.2811       1.7300  239.5493   7.8264   0.2650  275.4329   0.0000   0.0000   0.0000   0.0000     0.0000   0.0000       5.984 
7/01/1995   5.8500  420.0223  5.7000  485.5150       1.7600  243.5466   7.8346   0.1845  275.2241  -0.1116   0.0183   0.0183  -0.0036     0.0177   0.0249       5.7822
8/01/1995   5.7400  421.2322  5.7000  485.7484       1.7000  244.4728   7.8399   0.5589  274.7645   0.0344   0.0942   0.0942   0.0825     0.1001   0.1276       5.7263
9/01/1995   5.8000  422.1000  5.6000  486.2135       1.7400  248.0445   7.8445   0.4456  275.6507   0.0300   0.0848   0.0848   0.0774     0.0228   0.0210       6.1075
10/01/1995  5.7600  422.0301  5.5000  486.5224       1.7100  246.9063   7.8464   0.0963  274.7907   0.0000   0.0000   0.0000   0.0000     0.0000   0.0000       5.856 
11/01/1995  5.8000  422.1283  5.6000  486.5224       1.7500  251.0884   7.8509   0.1471  275.8663   0.0400   0.0483   0.0483   0.0348     0.1001   0.0643       5.86  
12/01/1995  5.6000  422.5769  5.6000  487.1373       1.7800  252.5961   7.8526   0.1058  276.5158  -0.0904  -0.1212  -0.1212  -0.1309    -0.1142  -0.1603       5.5875
1/01/1996   5.5600  421.8061  5.6000  487.4434       1.8100  255.3716   7.8568  -0.0362  275.8086  -0.0300  -0.0421  -0.0421  -0.0562    -0.1645  -0.0733       5.71  
2/01/1996   5.2200  423.4266  5.5000  487.4434       1.8200  256.9894   7.8531   1.1036  276.3439   0.0000   0.0000   0.0000   0.0000     0.0000   0.0000       5.552 
3/01/1996   5.3100  423.1787  5.5000  487.7485       1.7700  258.0762   7.8563   0.9256  276.9486   0.0100   0.0010   0.0010  -0.0018     0.0556   0.1090       5.27  
4/01/1996   5.2200  424.2651  5.6000  487.6723       1.6800  260.5953   7.8566   0.9813  277.4048   0.0000   0.0000   0.0000   0.0000     0.0000   0.0000       5.374 
5/01/1996   5.2400  424.9978  5.6000  487.9767       1.5600  263.2400   7.8554   1.1482  277.3571   0.0000  -0.2093  -0.2093  -0.2073    -0.2546  -0.2580       5.275 
6/01/1996   5.2700  426.1367  5.3000  488.0527       1.4900  262.4068   7.8551   0.9510  278.1727   0.0000   0.0000   0.0000   0.0000     0.0000   0.0000       5.156 
7/01/1996   5.4000  426.4509  5.5000  488.5828       1.4900  256.8747   7.8570   0.4525  278.1835  -0.0720  -0.1934  -0.1934  -0.1818    -0.1797  -0.1909       5.347 
8/01/1996   5.2200  427.0533  5.1000  488.6583       1.5400  260.0694   7.8640   0.5206  278.5088  -0.0282  -0.2159  -0.2159  -0.2051    -0.1830  -0.1934       5.1922
9/01/1996   5.3000  427.7303  5.2000  488.9597       1.5100  265.2356   7.8721   0.6160  278.3712  -0.1200  -0.1233  -0.1233  -0.1209    -0.1545  -0.1612       5.484 
10/01/1996  5.2400  427.6469  5.2000  489.0349       1.5400  266.6001   7.8794   0.5276  279.0932   0.0000   0.0000   0.0000   0.0000     0.0000   0.0000       5.344 
11/01/1996  5.3100  428.4271  5.4000  488.8091       1.5800  272.9510   7.8842   0.7509  279.0205  -0.0177  -0.0135  -0.0135  -0.0279    -0.0834  -0.0829       5.3408
12/01/1996  5.2900  429.2592  5.4000  488.7337       1.5900  271.8056   7.8918   0.6545  279.3778   0.0111  -0.0799  -0.0799  -0.0916    -0.1371  -0.1417       5.364 
1/01/1997   5.2500  429.2869  5.3000  488.1286       1.5200  277.0148   7.9001   0.6985  279.0385   0.0000   0.0000   0.0000   0.0000     0.0000   0.0000       5.264 
2/01/1997   5.1900  430.6889  5.2000  487.9007       1.5200  276.9025   7.9058   1.0149  279.8175  -0.0365  -0.0362  -0.0362  -0.0463    -0.1133  -0.0611       5.1853
3/01/1997   5.3900  431.8855  5.2000  487.7485       1.4900  272.3120   7.9108   0.9411  280.4663   0.0400   0.0574   0.0574   0.0555     0.0321   0.0692       5.89  
4/01/1997   5.5100  431.6582  5.1000  487.4434       1.4500  276.4620   7.9213   0.7038  279.5878   0.0000   0.0000   0.0000   0.0000     0.0000   0.0000       5.644 
5/01/1997   5.5000  432.5523  4.9000  487.8246       1.4900  283.3795   7.9289   0.8255  279.4633  -0.0987   0.0080   0.0080  -0.0138    -0.1068  -0.1125       5.52  
6/01/1997   5.5600  433.1527  5.0000  487.9767       1.5300  287.6945   7.9465   0.9845  280.4299   0.0000   0.0000   0.0000   0.0000     0.0000   0.0000       5.748 
7/01/1997   5.5200  433.6288  4.9000  488.2044       1.5300  295.0673   7.9539   1.2020  281.2095  -0.0214  -0.0912  -0.0912  -0.0926    -0.0955  -0.0577       5.5295
8/01/1997   5.5400  435.2903  4.8000  487.9767       1.5200  291.3708   7.9632   0.8325  281.4554   0.0000   0.0565   0.0565   0.0054    -0.0714  -0.0792       5.5944
9/01/1997   5.5400  436.1080  4.9000  487.8246       1.5000  297.0560   7.9689   1.2830  281.6202   0.0000  -0.0255  -0.0255  -0.0497    -0.0995  -0.1052       5.81  
10/01/1997  5.5000  436.7037  4.7000  487.2905       1.5400  293.5517   7.9707   1.0823  281.6764   0.0000   0.0000   0.0000   0.0000     0.0000   0.0000       5.52  
11/01/1997  5.5200  437.8621  4.6000  487.2139       1.5400  296.5467   7.9778   0.9628  282.5131  -0.0417  -0.0581  -0.0581  -0.0925    -0.1232  -0.1374       5.525 
