DATES,FFR_SSR,DIFF(IPM),DIFF(PPI_FIN),BAA_10YMOODY,EGON_KUTTNER_NI,UNRATE,IPM,PPI_FIN,PCEND,CORELOANS
1990-01-01,8.242,-0.2405,-0.0851,1.74,,5.4,402.4136,476.5587,687.2445,756.3818
1990-02-01,8.274,1.502,0.0851,1.67,,5.3,403.9156,476.6438,688.3195,756.8807
1990-03-01,8.296,0.5225,0.0851,1.62,,5.2,404.4381,476.7289,688.9055,757.4553
1990-04-01,8.208,-0.263,0.2548,1.52,,5.4,404.1751,476.9837,688.398,757.863
1990-05-01,8.148,0.1864,1.0966,1.65,,5.4,404.3615,478.0803,688.494,758.3016
1990-06-01,8.34,0.3072,1.2505,1.74,,5.2,404.6687,479.3308,689.6301,758.5917
1990-07-01,8.084,-0.2178,0.9893,1.72,,5.5,404.4509,480.3201,689.8797,758.8604
1990-08-01,8.062,0.3153,0.5726,1.66,,5.7,404.7662,480.8927,691.1916,759.2397
1990-09-01,8.242,0.0374,-0.4906,1.74,,5.9,404.8036,480.4021,692.1724,759.3676
1990-10-01,8.244,-0.8331,0.4906,2.02,,5.9,403.9705,480.8927,692.3954,759.4872
1990-11-01,7.584,-1.1668,-0.6547,2.23,,6.2,402.8037,480.238,693.0937,759.6764
1990-12-01,7.406,-0.7968,-0.4114,2.36,,6.3,402.0069,479.8267,692.4104,759.6098
1991-01-01,7.5,-0.7681,0.0,2.36,,6.4,401.2388,479.8267,692.0633,759.4405
1991-02-01,6.414,-0.629,0.247,2.21,,6.6,400.6098,480.0737,691.8566,759.5768
1991-03-01,6.006,-0.6209,-0.1646,1.98,,6.8,399.9889,479.9091,692.6204,759.6449
1991-04-01,5.928,0.2758,-0.2474,1.9,,6.7,400.2647,479.6617,692.4842,759.5883
1991-05-01,5.838,0.7576,0.165,1.8,,6.9,401.0224,479.8267,693.415,759.4926
1991-06-01,6.022,1.158,0.1647,1.68,,6.9,402.1804,479.9914,692.8846,759.3826
1991-07-01,5.8053,0.262,0.3287,1.62,,6.8,402.4423,480.3201,693.2626,758.9929
1991-08-01,5.6513,0.2346,0.4093,1.75,,6.9,402.677,480.7294,693.3798,758.7335
1991-09-01,5.376,1.097,-0.0817,1.86,,6.9,403.7739,480.6477,692.9133,758.7197
1991-10-01,5.2319,-0.2182,-0.2456,1.96,,7.0,403.5557,480.4021,692.6036,758.5224
1991-11-01,4.7669,-0.1943,0.2456,2.04,,7.0,403.3614,480.6477,693.0127,758.4911
1991-12-01,4.2856,-0.1146,0.0817,2.17,,7.3,403.2468,480.7294,692.8561,758.4489
1992-01-01,4.086,-0.6302,0.0817,2.1,0.0,7.3,402.6166,480.8111,694.6957,758.4653
