DATES,FFR_SSR,DIFF(IPM),DIFF(PPI_FIN),BAA_10YMOODY,EGON_KUTTNER_NI,UNRATE,IPM,PPI_FIN,PCEND,CORELOANS,EGON_KUTTNER,YLD0200,YLD0500,YLD1000,LMRET,LMARKET
1990-01-01,8.242,-0.2405,-0.0851,1.74,,5.4,402.4136,476.5587,687.2445,756.3818,,8.1567,8.2924,8.3573,173.2134,173.2134
1990-02-01,8.274,1.5019999999999998,0.0851,1.67,,5.3,403.9156,476.6438,688.3195,756.8807,,8.2517,8.4082,8.4624,174.6925,174.6925
1990-03-01,8.296,0.5225,0.0851,1.62,,5.2,404.4381,476.7289,688.9055,757.4553,,8.4778,8.5698,8.564,177.0778,177.0778
1990-04-01,8.208,-0.263,0.2548,1.52,,5.4,404.1751,476.9837,688.398,757.863,,8.7799,8.9093,8.9235,174.2085,174.2085
1990-05-01,8.148,0.1864,1.0966,1.65,,5.4,404.3615,478.0803,688.4939999999999,758.3016,,8.3009,8.4881,8.5239,182.7286,182.7286
1990-06-01,8.34,0.3072,1.2505,1.74,,5.2,404.6687,479.3308,689.6301,758.5917,,8.0944,8.2917,8.3853,182.3081,182.3081
1990-07-01,8.084,-0.2178,0.9893,1.72,,5.5,404.4509,480.3201,689.8797,758.8604,,7.8023,8.0672,8.3322,181.3632,181.3632
1990-08-01,8.062000000000001,0.3153,0.5726,1.66,,5.7,404.7662,480.8927,691.1916,759.2397,,8.0148,8.463,8.8887,171.7235,171.7235
1990-09-01,8.242,0.0374,-0.4906,1.74,,5.9,404.8036,480.4021,692.1724,759.3676,,7.9191,8.4012,8.8648,166.1888,166.1888
1990-10-01,8.244,-0.8331,0.4906,2.02,,5.9,403.9705,480.8927,692.3954,759.4872,,7.6884,8.1744,8.6758,164.9306,164.9306
1990-11-01,7.584,-1.1668,-0.6547,2.23,,6.2,402.8037,480.23800000000006,693.0937,759.6764,,7.4825,7.8762,8.2907,171.2978,171.2978
1990-12-01,7.406000000000001,-0.7968,-0.4114,2.36,,6.3,402.0069,479.8267,692.4104,759.6098,,7.1467,7.6923,8.2193,174.2064,174.2064
1991-01-01,7.5,-0.7681,0.0,2.36,,6.4,401.2388,479.8267,692.0633,759.4405,,6.9873,7.6021,8.1434,178.9975,178.9975
1991-02-01,6.414,-0.629,0.247,2.21,,6.6,400.6098,480.0737,691.8566,759.5768,,6.9315,7.6257,8.1356,186.3084,186.3084
1991-03-01,6.006,-0.6209,-0.1646,1.98,,6.8,399.9889,479.9091,692.6204,759.6449,,6.9488,7.7317,8.1748,189.1596,189.1596
1991-04-01,5.928,0.2758,-0.2474,1.9,,6.7,400.2647,479.6617,692.4842,759.5883,,6.7814,7.6224,8.1745,189.4913,189.4913
1991-05-01,5.837999999999999,0.7576,0.165,1.8,,6.9,401.0224,479.8267,693.415,759.4926,,6.7587,7.6375,8.2448,193.4836,193.4836
1991-06-01,6.022,1.158,0.1647,1.68,,6.9,402.1804,479.9914,692.8846,759.3826,,6.9265,7.8631,8.4401,188.9809,188.9809
1991-07-01,5.8053,0.262,0.3287,1.62,,6.8,402.4423,480.3201,693.2626,758.9929,0.0,6.7541,7.7257,8.3012,193.5542,193.5542
1991-08-01,5.6513,0.2346,0.4093,1.75,,6.9,402.67699999999996,480.7294,693.3798,758.7335,-0.062,6.2962,7.3192,8.0619,196.2008,196.2008
1991-09-01,5.376,1.097,-0.0817,1.86,,6.9,403.7739,480.6477,692.9133,758.7197,-0.0529,5.9952,6.9627,7.7129,195.0972,195.0972
1991-10-01,5.2319,-0.2182,-0.2456,1.96,,7.0,403.5557,480.4021,692.6036,758.5224,-0.0407,5.7006,6.7951,7.7774,196.8605,196.8605
1991-11-01,4.7669,-0.1943,0.2456,2.04,,7.0,403.3614,480.6477,693.0127,758.4911,-0.1,5.3943,6.6443,7.7583,193.0617,193.0617
1991-12-01,4.2856,-0.1146,0.0817,2.17,,7.3,403.2468,480.7294,692.8561,758.4489,-0.3187,4.8144,6.0788,7.1252,203.207,203.207
1992-01-01,4.086,-0.6302,0.0817,2.1,0.0,7.3,402.6166,480.8111,694.6957,758.4653,0.0,5.1582,6.6311,7.6606,203.0887,203.0887
1992-02-01,4.0725,1.0196,0.326,1.89,0.0126,7.4,403.6362,481.1371,694.5646,758.5399,0.0126,5.2683,6.7196,7.6253,204.4153,204.4153
1992-03-01,3.9760000000000004,0.9705,0.406,1.71,0.0,7.4,404.6067,481.5431,694.1582,758.7558,0.0,5.6244,7.0651,7.7596,202.0168,202.0168
1992-04-01,3.8091,0.5605,-0.0811,1.73,0.0104,7.4,405.1672,481.462,695.015,758.8214,-0.2039,5.3897,6.9874,7.8484,203.3498,203.3498
1992-05-01,3.83,0.6028,0.0811,1.74,0.0,7.6,405.77,481.5431,695.5036,758.7595,0.0,5.1487,6.6647,7.6194,203.9916,203.9916
1992-06-01,3.9360000000000004,0.3369,0.2428,1.79,0.0,7.8,406.1069,481.7859,695.6481,758.6617,0.0,4.8597,6.3553,7.5786,202.044,202.044
1992-07-01,3.295,0.8443,0.4034,1.99,-0.0855,7.7,406.9511,482.1893,696.2447,758.6783,-0.0855,4.4285,5.919,7.15,205.9565,205.9565
1992-08-01,3.3589,-0.4086,-0.0805,2.07,0.0258,7.6,406.5426,482.1088,696.7241,758.7559,0.0258,4.2091,5.7263,7.1916,203.8525,203.8525
1992-09-01,3.5039999999999996,0.0736,0.0805,2.2,0.0,7.6,406.6162,482.1893,697.1332,759.0814,0.0,3.8673,5.4243,7.0045,205.0896,205.0896
1992-10-01,3.1171,0.7183,0.1609,2.25,0.0,7.3,407.3345,482.3502,697.9060000000001,759.4532,0.0,4.4577,6.0448,7.2241,206.1821,206.1821
1992-11-01,3.1725,0.4209,0.2409,2.08,-0.05,7.4,407.7554,482.5911,697.6814,759.7330000000001,-0.05,4.8343,6.3612,7.3078,210.1228,210.1228
1992-12-01,2.9167,-0.2076,0.2403,2.04,0.0387,7.4,407.5478,482.8314,698.3809,759.9594,0.0387,4.5052,6.1137,7.0947,211.884,211.884
1993-01-01,2.99,1.0258,0.5584,2.07,0.0,7.3,408.5736,483.3898,698.3326,760.1924,0.0,4.1924,5.6649,6.8122,213.1404,213.1404
1993-02-01,3.0063,0.1495,0.0,2.13,0.0,7.1,408.7231,483.3898,698.6032,760.5075,0.0,3.9242,5.3046,6.4942,213.6792,213.6792
1993-03-01,3.1817,-0.2041,-0.3986,2.17,0.0,7.0,408.519,482.9912,698.2366,760.8192,0.0,3.9615,5.3328,6.531,216.1597,216.1597
1993-04-01,2.908,0.5579,-0.0799,2.17,0.0,7.1,409.0769,482.9113,698.6979,761.0375,0.0,3.7927,5.1932,6.446,213.5869,213.5869
1993-05-01,3.0775,-0.0654,-0.9639,2.18,-0.0258,7.1,409.0115,481.9475,699.5456,761.7618,-0.0258,4.2039,5.3994,6.4656,216.5037,216.5037
1993-06-01,3.196,-0.1878,0.1613,2.11,0.0,7.0,408.8237,482.1088,698.9218,762.4017,0.0,4.0234,5.0776,6.0909,217.0463,217.0463
1993-07-01,3.0659,0.2941,0.0805,2.13,0.027000000000000003,6.9,409.1178,482.1893,699.5645,762.8402,0.027,4.1154,5.172,6.0717,216.9667,216.9667
1993-08-01,3.033,-0.0825,0.1609,1.92,0.0,6.8,409.0353,482.3502,699.4321,763.3008,0.0,3.8468,4.802,5.7302,220.8387,220.8387
1993-09-01,3.2171,0.6753,0.0,1.98,0.0,6.7,409.7106,482.3502,699.8776,763.7106,0.0,3.8874,4.8108,5.6792,220.9027,220.9027
1993-10-01,3.0180000000000002,0.8503,0.321,1.98,0.0,6.8,410.5609,482.6712,700.3223,764.3518,0.0,3.9641,4.863,5.7072,222.693,222.693
1993-11-01,3.0344,0.41,0.1601,1.94,0.0231,6.6,410.9709,482.8314,700.9577,764.9907,0.0231,4.1769,5.1894,6.056,220.9167,220.9167
1993-12-01,2.9638,0.5723,0.08,1.91,0.0,6.5,411.5432,482.9113,701.0733,765.9203,0.0,4.2071,5.2084,6.0732,222.8492,222.8492
1994-01-01,3.148,0.2001,0.0,1.9,0.0,6.6,411.7433,482.9113,701.2049,766.5541,0.0,4.0662,5.0243,5.8634,225.9473,225.9473
1994-02-01,3.2769,0.1686,0.0,1.79,0.1633,6.6,411.912,482.9113,701.9114,767.0714,0.1633,4.6497,5.6122,6.4215,223.4951,223.4951
1994-03-01,3.5563,1.3471,0.0799,1.65,0.0,6.5,413.259,482.9912,702.3592,767.7514,0.0,5.2079,6.2655,6.9796,218.8074,218.8074
1994-04-01,3.548,0.8585,0.3986,1.55,0.0,6.4,414.1175,483.3898,702.6523,768.6258,0.15,5.7234,6.6093,7.1931,219.7507,219.7507
1994-05-01,4.27,0.7328,0.397,1.44,0.1107,6.1,414.8503,483.7868,702.4612,769.4615,0.1107,5.9619,6.7214,7.2994,220.6824,220.6824
1994-06-01,4.556,0.3467,-0.23800000000000002,1.55,0.0,6.1,415.1971,483.5488,703.3697,770.3417,0.0,6.1078,6.9153,7.517,217.8519,217.8519
1994-07-01,4.3394,0.4648,-0.3182,1.51,-0.0496,6.1,415.6618,483.2306,703.8148,771.5878,-0.0496,5.9389,6.6669,7.2246,220.8692,220.8692
1994-08-01,4.6658,0.7648,0.4769,1.5,0.124,6.0,416.4266,483.7075,705.1821,772.5518,0.124,6.0552,6.7492,7.2685,225.0407,225.0407
1994-09-01,4.7775,0.4014,0.3957,1.52,-0.09,5.9,416.82800000000003,484.1033,705.1429,773.5247,-0.09,6.5119,7.2124,7.6961,223.1873,223.1873
1994-10-01,4.796,1.087,0.2367,1.46,0.0,5.8,417.915,484.3399,705.7121,774.6739,0.0,6.7239,7.4065,7.8317,224.6289,224.6289
1994-11-01,5.6255,0.8082,0.2361,1.36,0.12,5.6,418.7232,484.5761,705.5392,775.5182,0.12,7.3168,7.6791,7.8499,220.836,220.836
